Tanggal,Judul,Media,Kategori,Link,Interpretasi singkat
11/12/2024,Ekonom Hati-hati Dampak Deflasi,Tempo,Ekonomi Makro,https://www.tempo.co/ekonomi/ekonom-hati-hati-dampak-deflasi-1633023,Artikel ini menyoroti potensi bahaya deflasi terhadap daya beli dan konsumsi nasional. Nada berita waspada dan analitis.
11/13/2024,"Ekonomi Digital Indonesia 2024 Tembus Rp 1.420 Triliun, Terbesar di Asia Tenggara",Kompas,Ekonomi Digital,https://tekno.kompas.com/read/2024/11/13/15201117/ekonomi-digital-indonesia-2024-tembus-rp-1420-triliun-terbesar-di-asia-tenggara?page=all,"Memberitakan capaian ekonomi digital Indonesia. Nada positif, menekankan keberhasilan dan potensi pertumbuhan."
11/13/2024,Pertumbuhan ekonomi digital Indonesia menguat di 2024 hingga dua digit,ANTARA,Ekonomi Digital / Teknologi,https://www.antaranews.com/berita/4463377/pertumbuhan-ekonomi-digital-indonesia-menguat-di-2024-hingga-dua-digit,"Ekonomi digital di Indonesia diperkirakan tumbuh sekitar 13 % di tahun 2024 dibanding 2023, menandakan percepatan digitalisasi dalam e-commerce, fintech, layanan online. (Antara News)"
11/13/2024,Tren Baru Dunia Sekarang: Pariwisata dan Ekonomi Kreatif,Liputan 6,Ekonomi Kreatif / Pariwisata,https://www.liputan6.com/bisnis/read/5786622/tren-baru-dunia-sekarang-pariwisata-dan-ekonomi-kreatif,Sektor pariwisata dan ekonomi kreatif menjadi tren global baru yang mendorong pertumbuhan ekonomi berbasis inovasi dan budaya.
11/13/2024,"Ekonomi Digital RI Tumbuh 2 Kali Lipat, Tembus Rp 1.400 T di 2024",CNN,Ekonomi Digital / Teknologi,https://www.cnnindonesia.com/teknologi/20241113171025-206-1166259/ekonomi-digital-ri-tumbuh-2-kali-lipat-tembus-rp1400-t-di-2024,Pertumbuhan pesat ekonomi digital nasional menunjukkan transformasi ekonomi berbasis teknologi. Nada berita positif dan optimistik.
11/15/2024,Judi online dan kedaruratan sosial ekonomi bangsa,ANTARA,Ekonomi Makro / Sosial & Regulasi,https://www.antaranews.com/berita/4469521/judi-online-dan-kedaruratan-sosial-ekonomi-bangsa,"Judi online dianggap sebagai “darurat sosial ekonomi”: bukan hanya soal moral, tapi juga berdampak pada stabilitas ekonomi melalui aliran dana yang tidak produktif, konsumsi rumah tangga berkurang, dan potensi utang masyarakat bertambah. (Antara News)"
11/22/2024,BKPM Siapkan Strategi Capai Target Pertumbuhan Ekonomi 8 Persen,CNN,Investasi / Kebijakan Ekonomi,https://www.cnnindonesia.com/ekonomi/20241122024406-532-1169357/bkpm-siapkan-strategi-capai-target-pertumbuhan-ekonomi-8-persen,BKPM merancang strategi untuk mendukung ambisi pertumbuhan ekonomi nasional. Nada berita positif dan strategis.
12/2/2024,Mobil Listrik Punya Peran Penting untuk Ekonomi Indonesia,Liputan 6,Ekonomi Makro / Risiko,https://www.liputan6.com/otomotif/read/5815812/mobil-listrik-punya-peran-penting-untuk-ekonomi-indonesia,Industri mobil listrik dinilai dapat menjadi motor pertumbuhan ekonomi baru dengan mengurangi ketergantungan energi fosil.
12/3/2024,Menekraf Targetkan 27 Juta Lapangan Kerja dari Sektor Ekonomi Kreatif,Detik,Ekonomi Kreatif,https://news.detik.com/berita/d-7668803/menekraf-targetkan-27-juta-lapangan-kerja-dari-sektor-ekonomi-kreatif,Fokus pada target besar pemerintah menciptakan lapangan kerja melalui subsektor ekonomi kreatif. Nada optimistis dan mendukung agenda pembangunan SDM.
12/4/2024,Menpan RB Sebut Ekonomi Kreatif Perlu Dapat Dukungan dari Birokrasi,Detik,Ekonomi Kreatif,https://news.detik.com/berita/d-7671212/menpan-rb-sebut-ekonomi-kreatif-perlu-dapat-dukungan-dari-birokrasi,"Pernyataan Menpan RB tentang perlunya sinergi birokrasi dan pelaku ekonomi kreatif. Nada positif, menekankan kolaborasi lintas sektor."
12/4/2024,Penghematan Anggaran dan Strategi Pertumbuhan Ekonomi Era Prabowo,Kompas,Ekonomi Pemerintahan,https://nasional.kompas.com/read/2024/12/04/14543171/penghematan-anggaran-dan-strategi-pertumbuhan-ekonomi-era-prabowo?page=all,"Menyoroti kebijakan penghematan dan strategi ekonomi pemerintahan Prabowo. Nada netral–positif, menekankan arah kebijakan fiskal."
12/10/2024,Sri Mulyani Ingin Anggaran Makan Gratis Rp71 T Gerakkan Ekonomi Daerah,CNN,Fiskal / Ekonomi Daerah,https://www.cnnindonesia.com/ekonomi/20241210190924-532-1175936/sri-mulyani-ingin-anggaran-makan-gratis-rp71-t-gerakkan-ekonomi-daerah,"Menteri Keuangan Sri Mulyani menyebut program makan gratis akan memberi efek ekonomi positif bagi daerah. Nada berita positif–analitis, menyoroti multiplier effect kebijakan."
12/10/2024,Adaro Dorong Kemandirian Ekonomi Koperasi Ponpes Miftahul Ulum,ANTARA,CSR / Ekonomi Pesantren,https://kalsel.antaranews.com/berita/443458/adaro-dorong-kemandirian-ekonomi-koperasi-ponpes-miftahul-ulum,Adaro menginisiasi pelatihan dan pendampingan ekonomi bagi koperasi pesantren untuk menciptakan kemandirian ekonomi santri.
12/10/2024,Peran Toko Kelontong Bantu Pemerintah Kejar Pertumbuhan Ekonomi 8%,Liputan 6,UMKM / Ekonomi Mikro,https://www.liputan6.com/bisnis/read/5826959/peran-toko-kelontong-bantu-pemerintah-kejar-pertumbuhan-ekonomi-8,"UMKM, khususnya toko kelontong, berperan penting dalam mendukung target pertumbuhan ekonomi nasional melalui konsumsi domestik."
12/12/2024,Rumus Era Soeharto yang Akan Ditiru Prabowo demi Laju Ekonomi 8 Persen,CNN,Kebijakan Ekonomi / Pemerintahan,https://www.cnnindonesia.com/ekonomi/20241212142831-532-1176618/rumus-era-soeharto-yang-akan-ditiru-prabowo-demi-laju-ekonomi-8-persen,Pemerintahan Prabowo berencana meniru strategi pembangunan era Soeharto seperti stabilitas harga dan investasi infrastruktur untuk mengejar target pertumbuhan ekonomi 8%.
12/17/2024,Daftar Paket Stimulus Ekonomi 2025: Kelas Bawah-Menengah hingga Dunia Usaha,Kompas,Ekonomi Nasional,https://money.kompas.com/read/2024/12/17/074100226/daftar-paket-stimulus-ekonomi-2025--kelas-bawah-menengah-hingga-dunia-usaha?page=all,"Menguraikan paket stimulus ekonomi pemerintah. Nada positif, menonjolkan kebijakan pro-rakyat dan dukungan usaha."
12/18/2024,Bappenas: Hampir 30 tahun Indonesia terjebak middle income trap,Liputan 6,Ekonomi Makro / Pembangunan,https://www.liputan6.com/bisnis/read/5841329/bappenas-hampir-30-tahun-indonesia-terjebak-middle-income-trap,Bappenas menyoroti stagnasi ekonomi Indonesia yang belum berhasil keluar dari jebakan negara berpendapatan menengah selama hampir tiga dekade.
12/19/2024,CNN Indonesia Business Summit Bahas Target Pertumbuhan Ekonomi 8%,CNN,Ekonomi Makro / Kebijakan,https://www.cnnindonesia.com/ekonomi/20241219182209-97-1179202/cnn-indonesia-business-summit-bahas-target-pertumbuhan-ekonomi-8,Forum ekonomi membahas tantangan dan strategi mencapai target ambisius pertumbuhan 8% di era pemerintahan baru.
12/19/2024,CNN Indonesia Business Summit: Fokus Target Ekonomi 8% Digelar Besok,CNN,Ekonomi Makro / Forum Bisnis Nasional,https://www.cnnindonesia.com/ekonomi/20241219190125-97-1179219/cnn-indonesia-business-summit-fokus-target-ekonomi-8-digelar-besok,"CNN Indonesia menggelar forum ekonomi nasional dengan fokus pada strategi mencapai target pertumbuhan ekonomi 8%, melibatkan pejabat dan pengusaha sebagai pembicara utama."
12/24/2024,Mengantisipasi Volatilitas Arus Modal,Detik,Kolom Ekonomi,https://news.detik.com/kolom/d-7700239/mengantisipasi-volatilitas-arus-modal,"Kolom analisis tentang risiko fluktuasi arus modal asing. Nada waspada namun konstruktif, memberi rekomendasi kebijakan stabilisasi moneter."
12/24/2024,"Indeks Terorisme Indonesia di 2024 Naik, Diharap Berdampak ke Ekonomi",Kompas,Sosial-Ekonomi,https://nasional.kompas.com/read/2024/12/24/09254411/indeks-terorisme-indonesia-di-2024-naik-diharap-berdampak-ke-ekonomi,"Membahas peningkatan indeks terorisme dan dampaknya terhadap ekonomi. Nada netral–negatif, menggambarkan kekhawatiran atas stabilitas ekonomi."
12/26/2024,Top 3: Peringatan Badai Ekonomi RI di 2025,Liputan 6,Ekonomi Kreatif / Digitalisasi,https://www.liputan6.com/bisnis/read/5850647/top-3-peringatan-badai-ekonomi-ri-di-2025,"Para ekonom memperingatkan potensi “badai ekonomi” akibat ketidakpastian global, inflasi, dan pelemahan nilai tukar yang dapat menghambat pertumbuhan nasional."
12/30/2024,Prabowo: Ekonomi Kita Ekonomi Pancasila,Kompas,Ekonomi Nasional,https://nasional.kompas.com/read/2024/12/30/19290841/prabowo-ekonomi-kita-ekonomi-pancasila,"Pidato Prabowo menekankan konsep ekonomi Pancasila. Nada positif, bersifat afirmatif dan ideologis."
12/30/2024,Prabowo Klaim Ekonomi Pancasila Gabungan yang Terbaik,CNN,Ideologi Ekonomi / Politik Ekonomi,https://www.cnnindonesia.com/ekonomi/20241230202622-532-1182422/prabowo-klaim-ekonomi-pancasila-gabungan-yang-terbaik,"Prabowo menegaskan konsep “Ekonomi Pancasila” sebagai model ekonomi ideal yang menggabungkan pasar bebas, sosialisme, dan keadilan sosial sesuai nilai dasar negara."
12/31/2024,"Video: Ekonomi Indonesia 2025, Beban Warga Makin Berat",CNN,Ekonomi Makro / Kondisi Sosial Ekonomi,https://www.cnnindonesia.com/tv/20241231132021-402-1182587/video-ekonomi-indonesia-2025-beban-warga-makin-berat,"Laporan video CNN Indonesia menyoroti tekanan ekonomi yang meningkat pada 2025, dengan daya beli masyarakat melemah akibat inflasi dan kenaikan harga kebutuhan pokok."
12/31/2024,Airlangga Targetkan Pertumbuhan Ekonomi 8 Persen Tercapai 2028,CNN,Kebijakan Ekonomi / Pemerintahan,https://www.cnnindonesia.com/ekonomi/20241220111917-532-1179386/airlangga-targetkan-pertumbuhan-ekonomi-8-persen-tercapai-2028,Menteri Koordinator Perekonomian Airlangga Hartarto menyampaikan target ambisius untuk mencapai pertumbuhan ekonomi 8% pada 2028 melalui industrialisasi dan investasi.
1/2/2025,Meraih Peluang Ekonomi di Tahun 2025,Detik,Kolom Ekonomi,https://news.detik.com/kolom/d-7714294/meraih-peluang-ekonomi-di-tahun-2025,"Kolom analisis yang menggambarkan peluang pertumbuhan ekonomi Indonesia pada 2025 melalui hilirisasi, investasi, dan transformasi digital. Nada optimistis dan pro-pemerintah."
1/2/2025,"Ekonomi Indonesia Diprediksi Tumbuh 5,1 Persen pada 2025",Kompas,Ekonomi Nasional,https://nasional.kompas.com/read/2025/01/02/15544721/ekonomi-indonesia-diprediksi-tumbuh-51-persen-pada-2025-said-abdullah?page=all,"Nada positif, menunjukkan proyeksi optimistis dari kalangan legislatif terkait kinerja ekonomi."
1/3/2025,Proyeksi Ekonomi Indonesia 2025,Detik,Kolom Ekonomi,https://news.detik.com/kolom/d-7714342/proyeksi-ekonomi-indonesia-2025,Analisis prediktif terhadap kondisi ekonomi 2025 dengan fokus pada investasi dan fiskal. Nada optimistis terhadap kesinambungan pertumbuhan ekonomi.
1/4/2025,Kupas Tuntas Outlook Ekonomi dan Peran APBN 2025,Detik,Kebijakan Ekonomi,https://finance.detik.com/berita-ekonomi-bisnis/d-7762773/kupas-tuntas-outlook-ekonomi-dan-peran-apbn-2025-live-besok-di-detikcom,"Artikel ini berisi promosi acara diskusi mengenai outlook ekonomi dan peran APBN 2025. Nada informatif dan netral, menyoroti pentingnya kebijakan fiskal untuk stabilitas ekonomi."
1/6/2025,Anak Buah Sri Mulyani: Harga Pertalite Harusnya Rp11.700,CNN,Energi / Subsidi,https://www.cnnindonesia.com/ekonomi/20250106161638-532-1184277/anak-buah-sri-mulyani-harga-pertalite-harusnya-rp11700,Kemenkeu menilai harga Pertalite tidak mencerminkan harga pasar. Nada berita kritis terhadap kebijakan subsidi BBM.
1/6/2025,Krisis energi: ancaman inflasi dan wacana solusi stabilitas ekonomi,ANTARA,Ekonomi Makro / Energi & Inflasi,https://www.antaranews.com/berita/4565558/krisis-energi-ancaman-inflasi-dan-wacana-solusi-stabilitas-ekonomi,Krisis energi global dan domestik menjadi ancaman bagi inflasi dan stabilitas ekonomi nasional — pemerintah tengah mencari solusi agar dampaknya bisa dikendalikan.
1/8/2025,Budi Gunawan: Makan Bergizi Gratis Berdampak Positif pada Ekonomi,Kompas,Sosial-Ekonomi,https://nasional.kompas.com/read/2025/01/08/19242121/budi-gunawan-sebut-makan-bergizi-gratis-berdampak-positif-pada-ekonomi,"Nada positif, menggambarkan program sosial pemerintah yang berdampak ekonomi."
1/10/2025,Kenapa RI Sering Babak Belur Tiap Rebutan Investasi dengan Vietnam Cs,CNN,Ekonomi / Investasi Asing,https://www.cnnindonesia.com/ekonomi/20250110070909-92-1185637/kenapa-ri-sering-babak-belur-tiap-rebutan-investasi-dengan-vietnam-cs,Analisis penyebab Indonesia kalah bersaing menarik investasi dibanding negara ASEAN lain. Nada berita kritis dan komparatif.
1/10/2025,Keuntungan dan Potensi Kerugian Indonesia Gabung BRICS,ANTARA,Ekonomi Internasional / Diplomasi Ekonomi,https://www.antaranews.com/berita/4576798/keuntungan-dan-potensi-kerugian-indonesia-gabung-brics,"Artikel membahas pro-kontra potensi keanggotaan Indonesia di BRICS, menyoroti peluang investasi sekaligus risiko geopolitik dan ketergantungan ekonomi."
1/12/2025,Program Makan Bergizi Gratis dan Upaya Menggerakkan Perekonomian Lokal,ANTARA,Ekonomi Sosial / Ketahanan Pangan,https://www.antaranews.com/berita/4578874/program-makan-bergizi-gratis-dan-upaya-menggerakkan-perekonomian-lokal,Program makan bergizi gratis pemerintah dinilai mampu menggerakkan ekonomi lokal melalui peningkatan permintaan pangan daerah.
1/14/2025,Begini Proyek Ekonomi Indonesia di 2025,Liputan 6,Ekonomi Digital / Inovasi,https://www.liputan6.com/bisnis/read/5879903/begini-proyek-ekonomi-indonesia-di-2025,Artikel ini menyoroti proyek strategis nasional yang menjadi motor penggerak ekonomi di tahun 2025.
1/16/2025,Prabowo Makin Pede Ekonomi RI Bisa 8 Persen: Saya Percaya Matematika,CNN,Politik Ekonomi / Pemerintahan,https://www.cnnindonesia.com/ekonomi/20250116185350-532-1188049/prabowo-makin-pede-ekonomi-ri-bisa-8-persen-saya-percaya-matematika,Pernyataan optimistis Presiden Prabowo soal target ekonomi nasional. Nada berita positif dengan nuansa politis.
1/16/2025,Prabowo: semakin percaya diri pertumbuhan ekonomi 8 persen tercapai,ANTARA,Ekonomi Makro / Target Pertumbuhan & Kebijakan,https://www.antaranews.com/berita/4589202/prabowo-semakin-percaya-diri-pertumbuhan-ekonomi-8-persen-tercapai,Prabowo Subianto menyatakan keyakinannya bahwa target pertumbuhan ekonomi sebesar 8% bisa dicapai — menggambarkan optimisme pemerintah terhadap kapasitas ekonomi nasional.
1/19/2025,Sulit Mencapai Pertumbuhan 8 Persen,Tempo,Ekonomi Makro,https://www.tempo.co/kolom/sulit-mencapai-pertumbuhan-8-persen-1195933,Opini yang menyatakan target pertumbuhan 8% sulit tercapai karena inkonsistensi kebijakan fiskal dan eksternal. Nada kritis.
1/20/2025,"Geliat Ekonomi 100 Hari Prabowo-Gibran, Puas",Detik,Ekonomi Pemerintahan,https://finance.detik.com/berita-ekonomi-bisnis/d-7740982/geliat-ekonomi-100-hari-prabowo-gibran-puas,"Evaluasi capaian ekonomi 100 hari pertama pemerintahan Prabowo-Gibran. Nada sangat positif, menggambarkan optimisme terhadap kebijakan awal."
1/20/2025,Survei Litbang Kompas: Kepuasan Kinerja Pemerintah Bidang Ekonomi dan Sosial,Kompas,Sosial-Ekonomi,https://money.kompas.com/read/2025/01/20/030000526/survei-litbang-kompas-kepuasan-kinerja-pemerintah-bidang-ekonomi-dan?page=all,"Nada netral–positif, menyoroti tingkat kepuasan masyarakat terhadap kinerja ekonomi pemerintah."
1/21/2025,"Pertumbuhan ekonomi Indonesia Timur diproyeksikan 8,8 persen",ANTARA,Ekonomi Makro / Regional & Pertumbuhan,https://www.antaranews.com/berita/4599082/pertumbuhan-ekonomi-indonesia-timur-diproyeksikan-88-persen,"Pemerintah memproyeksikan wilayah timur Indonesia dapat tumbuh sekitar 8,8 % pada jangka menengah — menunjukkan fokus pengembangan kawasan dan potensi pertumbuhan yang lebih tinggi dibanding wilayah lain. (Antara News)"
1/21/2025,"Kampung Industri, Solusi Bangun Ketahanan Ekonomi",Liputan 6,UMKM / Ekonomi Lokal,https://www.liputan6.com/bisnis/read/5889855/kampung-industri-solusi-bangun-ketahanan-ekonomi,Program kampung industri menjadi upaya memperkuat ketahanan ekonomi melalui pemberdayaan masyarakat berbasis produksi lokal.
1/23/2025,"Target Pertumbuhan Ekonomi 8 Persen, Pendapatan Masyarakat Harus Naik 60 Persen",Kompas,Ekonomi Nasional,https://money.kompas.com/read/2025/01/23/175000026/target-pertumbuhan-ekonomi-8-persen-pendapatan-masyarakat-harus-naik-60-persen?page=all,"Nada positif, berisi harapan dan target ambisius pemerintah terhadap ekonomi."
1/24/2025,100 Hari Kerja Prabowocare: Capaian Ekonomi dan Transparansi,Detik,Kolom Politik-Ekonomi,https://news.detik.com/kolom/d-7744747/100-hari-kerja-prabowocare-capaian-ekonomi-dan-transparansi,"Evaluasi awal kinerja ekonomi pemerintahan Prabowo, menyoroti transparansi dan arah kebijakan populis. Nada moderat–positif."
1/24/2025,"Ketidakpastian Global Masih Berlanjut, Sri Mulyani Tegaskan Stabilitas Sistem",Kompas,Ekonomi Global,https://money.kompas.com/read/2025/01/24/174207626/ketidakpastian-global-masih-berlanjut-sri-mulyani-tegaskan-stabilitas-sistem,"Nada netral, berfokus pada stabilitas ekonomi meski ada ketidakpastian global."
1/27/2025,"Jadi Ekonomi Terbesar ke-8 di Dunia, Indonesia Salip Prancis dan Inggris",Liputan 6,Ekonomi Hijau / Lingkungan,https://www.liputan6.com/bisnis/read/5896470/jadi-ekonomi-terbesar-ke-8-di-dunia-indonesia-salip-prancis-dan-inggris,"Laporan menunjukkan posisi ekonomi Indonesia terus naik secara global, menjadi indikator kekuatan pasar domestik yang besar."
1/27/2025,"Resmi, Indonesia Jadi Negara Ekonomi Terbesar ke-8 di Dunia",Liputan 6,Ekonomi Global / Statistik,https://www.liputan6.com/bisnis/read/5896172/resmi-indonesia-jadi-negara-ekonomi-terbesar-ke-8-di-dunia,"Indonesia resmi menempati peringkat ke-8 ekonomi dunia berdasarkan proyeksi PDB global, menegaskan kekuatan pasar domestik."
1/28/2025,"Indonesia Jadi Negara Ekonomi Terbesar ke-8 Dunia, Cuma Kalah dari Negara-Negara Ini",Liputan 6,Ekonomi Global / Statistik,https://www.liputan6.com/bisnis/read/5897749/indonesia-jadi-negara-ekonomi-terbesar-ke-8-dunia-cuma-kalah-dari-negara-negara-ini,"Indonesia naik peringkat menjadi ekonomi terbesar ke-8 dunia, menyalip beberapa negara maju berdasarkan proyeksi PDB global."
1/30/2025,Bappenas: Indonesia Harus Tumbuhkan Ekonomi 7 Persen agar Jadi Negara Maju,Kompas,Ekonomi Pembangunan,https://money.kompas.com/read/2025/01/30/172425826/bappenas-indonesia-harus-tumbuhkan-ekonomi-7-persen-agar-jadi-negara-maju,"Nada positif, berisi motivasi dan rencana strategis pembangunan nasional."
1/31/2025,"Ekonomi Indonesia Nomor 8 Terbesar Dunia, Airlangga: Lebih Tinggi dari Italia",Kompas,Ekonomi Global,https://money.kompas.com/read/2025/01/31/171851326/ekonomi-indonesia-nomor-8-terbesar-dunia-airlangga-lebih-tinggi-dari-italia,"Nada positif, menyoroti prestasi ekonomi nasional dan peningkatan posisi global Indonesia."
1/31/2025,Fokus Digitalisasi 2025: Pemerintah Bakal Gencarkan AI dan Ekonomi,Kompas,Ekonomi Digital,https://nasional.kompas.com/read/2025/01/31/20520291/fokus-digitalisasi-pada-2025-pemerintah-bakal-gencarkan-ai-dan-ekonomi,"Nada positif, menyoroti komitmen pemerintah terhadap transformasi digital ekonomi."
1/31/2025,"Indonesia Masuk 8 Besar Ekonomi Dunia, Menko Airlangga: Kalahkan Italia dan Prancis",Liputan 6,Politik Ekonomi / Diplomasi Global,https://www.liputan6.com/bisnis/read/5902566/indonesia-masuk-8-besar-ekonomi-dunia-menko-airlangga-kalahkan-italia-dan-prancis,"Menko Perekonomian menyampaikan bahwa Indonesia kini masuk 8 besar ekonomi dunia, menunjukkan kekuatan ekonomi nasional yang meningkat."
2/3/2025,FEB UI: Hilirisasi Tambang Membangun Masa Depan Ekonomi Inklusif di Indonesia,Kompas,Ekonomi Industri,https://nasional.kompas.com/read/2025/02/03/10171761/feb-ui-sebut-hilirisasi-tambang-membangun-masa-depan-ekonomi-inklusif-di,"Nada positif, menekankan dampak jangka panjang kebijakan hilirisasi terhadap ekonomi."
2/5/2025,"Konsumsi Tumbuh tapi Pertumbuhan Ekonomi 2024 Melambat, Ini Penyebabnya",Kompas,Ekonomi Nasional,https://money.kompas.com/read/2025/02/05/173900326/konsumsi-tumbuh-tapi-pertumbuhan-ekonomi-2024-melambat-ini-penyebabnya,"Nada netral–negatif, memberikan analisis objektif terkait perlambatan ekonomi."
2/5/2025,"BPS: Pertumbuhan Ekonomi Indonesia 5,03 Persen pada 2024",Kompas,Ekonomi Nasional,https://money.kompas.com/read/2025/02/05/112707526/bps-pertumbuhan-ekonomi-indonesia-503-persen-pada-2024?page=all,"Nada netral, menyajikan data statistik tanpa penilaian kualitatif."
2/5/2025,"BPS Umumkan Pertumbuhan Ekonomi Indonesia 5,03 Persen Sepanjang 2024",Tempo,Ekonomi Nasional,https://www.tempo.co/ekonomi/bank-dunia-berkunjung-ke-ikn-untuk-apa--1673329,"Pertumbuhan ekonomi nasional 2024 tercatat 5,03 % — melambat dibanding tahun sebelum. Nada netral-kritik."
